time_x,current_performance,target_performance,cpu_node_percentage,net_node_percentage,io_node_percentage
3206,700000.000000,650000.000000,0.065000,0.029483,0.127077
3211,700000.000000,650000.000000,0.065000,0.029483,0.127077
3216,700000.000000,650000.000000,0.065000,0.029483,0.127077
3221,700000.000000,650000.000000,0.065000,0.029483,0.127077
3226,700000.000000,650000.000000,0.065000,0.029483,0.127077
3231,700000.000000,650000.000000,0.065000,0.029483,0.127077
3235,700000.000000,650000.000000,0.065000,0.029483,0.127077
3240,700000.000000,650000.000000,0.065000,0.029483,0.127077
3244,700000.000000,650000.000000,0.065000,0.029483,0.127077
3249,700000.000000,650000.000000,0.065000,0.029483,0.127077
3255,700000.000000,650000.000000,0.065000,0.029483,0.127077
3259,700000.000000,650000.000000,0.065000,0.029483,0.127077
3264,700000.000000,650000.000000,0.065000,0.029483,0.127077
3269,700000.000000,650000.000000,0.065000,0.029483,0.127077
3273,700000.000000,650000.000000,0.065000,0.029483,0.127077
3278,700000.000000,650000.000000,0.065000,0.029483,0.127077
3282,700000.000000,650000.000000,0.065000,0.029483,0.127077
3287,700000.000000,650000.000000,0.065000,0.029483,0.127077
3292,700000.000000,650000.000000,0.065000,0.029483,0.127077
3297,700000.000000,650000.000000,0.065000,0.029483,0.127077
3301,700000.000000,650000.000000,0.065000,0.029483,0.127077
3305,700000.000000,650000.000000,0.065000,0.029483,0.127077
3310,700000.000000,650000.000000,0.065000,0.029483,0.127077
3315,700000.000000,650000.000000,0.065000,0.029483,0.127077
3319,700000.000000,650000.000000,0.065000,0.029483,0.127077
3324,700000.000000,650000.000000,0.065000,0.029483,0.127077
3329,700000.000000,650000.000000,0.065000,0.029483,0.127077
3333,700000.000000,650000.000000,0.065000,0.029483,0.127077
3338,700000.000000,650000.000000,0.065000,0.029483,0.127077
3343,700000.000000,650000.000000,0.065000,0.029483,0.127077
3347,700000.000000,650000.000000,0.065000,0.029483,0.127077
3352,700000.000000,650000.000000,0.065000,0.029483,0.127077
3357,700000.000000,650000.000000,0.065000,0.029483,0.127077
3361,700000.000000,650000.000000,0.065000,0.029483,0.127077
3366,700000.000000,650000.000000,0.065000,0.029483,0.127077
3370,700000.000000,650000.000000,0.065000,0.029483,0.127077
3375,700000.000000,650000.000000,0.065000,0.029483,0.127077
3380,700000.000000,650000.000000,0.065000,0.029483,0.127077
3385,700000.000000,650000.000000,0.065000,0.029483,0.127077
3389,700000.000000,650000.000000,0.065000,0.029483,0.127077
3394,700000.000000,650000.000000,0.065000,0.029483,0.127077
3399,700000.000000,650000.000000,0.065000,0.029483,0.127077
3404,700000.000000,650000.000000,0.065000,0.029483,0.127077
3409,700000.000000,650000.000000,0.065000,0.029483,0.127077
3413,700000.000000,650000.000000,0.065000,0.029483,0.127077
3419,700000.000000,650000.000000,0.065000,0.029483,0.127077
3423,700000.000000,650000.000000,0.065000,0.029483,0.127077
3428,700000.000000,650000.000000,0.065000,0.029483,0.127077
3433,700000.000000,650000.000000,0.065000,0.029483,0.127077
3438,700000.000000,650000.000000,0.065000,0.029483,0.127077
3443,700000.000000,650000.000000,0.065000,0.029483,0.127077
3447,700000.000000,650000.000000,0.065000,0.029483,0.127077
